hit_num,text_id,left_context,keyword,right_context,spoken_type,function
23486,KCW,. You have it . Cos I was sort of,like,"listening to my music and it was , I think",Spoken demographically sampled,DP
954,F8D,"tighter if it 's too loose , if it 's",like,"that and , most people do it too loose ,",Spoken context governed,PREP
2950,FY5,"you see , there was no gas cooker or anything",like,"that , all the cooking was done on the coal",Spoken context governed,PREP
11784,JYM,and phrase [unclear] But I do n't know . Things,like,that sometimes you can remember but because you do n't,Spoken context governed,PREP
13688,KB2,"I says why do n't you , no , but",like,If you want to go to Skeggy it 's a,Spoken demographically sampled,DM
37465,KS7,we expect to see Nigel ? Tomorrow ? Well we,like,erm obviously to keep the ball alive erm I guess,Spoken context governed,VERB
26008,KD9,ought to see them up [unclear] it 's sort of,like,"a leg here , half a leg there a bit",Spoken demographically sampled,PREP
19083,KC3,all the creative art except cooking . So But I,like,what I 'm taking [unclear] I think it 's quite,Spoken demographically sampled,VERB
12981,K76,Well quite obviously if you are going to curtail something,like,"that , some of those who had been on the",Spoken context governed,PREP
5822,HEM,good at building a load . They said it was,like,"a box you know , and they could up to",Spoken context governed,PREP
3050,FY6,"of chickens , you know sheep and horses and things",like,that . It was just great . Mhm . So,Spoken context governed,PREP
34760,KPV,"clock 's sort of Yeah , my body clock was",like,", still really really active . Cos usually I 'm",Spoken demographically sampled,DP
533,F7F,"seven , eight parents it is coming , if you",like,", that at the end of year nine it 's",Spoken context governed,VERB
36464,KRL,the importance of its services . What 's the morale,like,among your staff now ? I think there will be,Spoken context governed,PREP
4149,G5K,the father a deep knowledge of God . I I,like,"this . And the young man , victory over the",Spoken context governed,VERB
29231,KE3,", [unclear] and scratch it . . Oh it 's",like,that is it ? . Oh Sally had a packet,Spoken demographically sampled,PREP
6871,HUL,"are made and eventually they , they all stick together",like,"a kind of Lego , and the result is a",Spoken context governed,PREP
22110,KCP,"seven eight I 've got ta do it that ,",like,that . Cos I 've got that king in case,Spoken demographically sampled,PREP
